EventId,EventTemplate,Occurrences
3aa50e45,instruction cache parity error corrected,42
6265c739,<*> double-hummer alignment exceptions,109
65f23e3e,"CE sym <*>, at <*>, mask <*>",92
150b1306,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
070de4aa,generating <*>,721
ee94f2ae,force load<*> alignment...............<*>,2
9c0ffa0d,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
4983ff07,ciod: LOGIN <*> failed: No such file or directory,18
1840cbfe,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
38a7307d,data TLB error interrupt,60
4bb57e7e,ciod: Message code <*> is not <*> or <*><*>,1
d2c9db9b,data storage interrupt,30
a31b789f,instruction address: <*>,21
22550c73,data address: <*>,8
614cf99e,machine check: i-fetch......................<*>,5
cc8ff6de,program interrupt: <*> <*>,21
cce08081,exception syndrome register: <*>,6
9851467f,data store interrupt caused by <*>,10
abff2903,store operation.............................<*>,2
8d23c697,machine state register: <*>,4
618cefb8,"problem state (<*>=sup,<*>=usr).......<*>",3
47ced713,floating point instr. enabled.....<*>,4
b48b277c,auxiliary processor.........................<*>,5
df5acbfe,machine check enable..............<*>,2
f4a80ec4,floating pt ex mode <*> enable......<*>,5
4aa10e18,debug interrupt enable............<*>,1
d8f41a22,byte ordering exception.....................<*>,2
02430fd4,data address space................<*>,5
06072e40,core configuration register: <*>,7
87710483,program interrupt: fp cr update.............<*>,1
14523f2a,guaranteed instruction cache block touch.<*>,2
41c5149c,program interrupt: fp cr field .............<*>,4
504ff5e1,guaranteed data cache block touch........<*>,1
3777cdd1,icache prefetch <*>,3
493f6190,wait state enable.................<*>,1
fb1560b4,critical input interrupt enable...<*>,1
f7c382bd,special purpose registers:,1
b24e0b23,lr:<*> cr:<*> xer:<*> ctr:<*>,1
af999985,rts internal error,1
3a77b37e,debug wait enable.................<*>,2
0b246110,instruction address space.........<*>,1
c5b54ac5,disable store gathering..................<*>,3
147cfcff,total of <*> ddr error(s) detected and corrected,13
57138c88,"ciod: Error loading <*> invalid or missing program image, No such file or directory",21
9f36f82a,ciod: Error creating node map from file <*>: <*> <*> <*>,3
0d02c0e2,program interrupt,3
a2335b6b,Node card is not fully functional,6
81667914,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*> <*> <*> <*>:<*>:<*> PDT <*>,5
9d5d6232,Can not get assembly information for node card,6
c1646a49,ciod: Missing or invalid fields on line <*> of node map file <*>,2
c70dad25,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected,4
4523125b,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
220716fc,rts panic! - stopping execution,2
a5a0959d,ciod: Error creating node map from file <*>: Permission denied,1
fe6e303b,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
14d1b272,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*><*>, total=<*>",1
1ae4a1e2,<*> floating point alignment exceptions,121
2b062444,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
12c46e92,NodeCard is not fully functional,1
